familyName,givenName,middleName,profileText
Bethune,Lauchlin,,"A Representative from North Carolina; born near Fayetteville, Cumberland County, N.C., April 15, 1785; attended private schools and Lumberton (N.C.) Male Academy; engaged in agricultural pursuits; member of the State senate in 1817, 1818, 1822-1825, and 1827; elected as a Jacksonian to the Twenty-second Congress (March 4, 1831-March 3, 1833); unsuccessful candidate for reelection to the Twenty-third, Twenty-fourth, and Twenty-fifth Congresses; returned to his plantation near Fayetteville, N.C., and continued agricultural pursuits until his death on October 10, 1874; interment in the Presbyterian Cemetery, Aberdeen, Moore County, N.C."
Clay,William,Lacy,"(Father of William Lacy Clay, Jr.), a Representative from Missouri; born in St. Louis, St. Louis County, Mo., April 30, 1931; B.S., St. Louis University, 1953; United States Army, 1953-1955; real estate broker; manager, life insurance company, 1959-1961; alderman, St. Louis, Mo., 1959-1964; business representative, city employees union, 1961-1964; education coordinator, Steamfitters Local No. 562, 1966-1967; elected as a Democrat to the Ninety-first and to the fifteen succeeding Congresses (January 3, 1969-January 3, 2001); chairman, Committee on the Post Office and Civil Service (One Hundred Second and One Hundred Third Congresses); was not a candidate for reelection to the One Hundred Seventh Congress."
Rariden,James,,"A Representative from Indiana; born near Cynthiana, Harrison County, Ky., February 14, 1795; received a limited schooling; moved to Brookville, Ind., and thence to Salisbury; deputy clerk of court; studied law; was admitted to the bar in 1818 and began practice in Centerville, Ind., in 1820; prosecuting attorney 1822-1825; served in the State senate in 1823; member of the State house of representatives in 1829, 1830, 1832, and 1833; elected as a Whig to the Twenty-fifth and Twenty-sixth Congresses (March 4, 1837-March 3, 1841); moved to Cambridge City, Ind., in 1846; delegate to the State constitutional convention in 1850; died in Cambridge City, Wayne County, Ind., October 20, 1856; interment in Riverside Cemetery."
Carpenter,Terry,McGovern,"A Representative from Nebraska; born in Cedar Rapids, Linn County, Iowa, March 28, 1900; attended the public schools of Cedar Rapids; moved to Scottsbluff, Nebr., in 1916 and was employed in various positions with a railroad company; was engaged in the wholesale candy and tobacco business in 1922 and 1923; moved to Long Beach, Calif., in 1923 and was employed as manager of the municipal gas and water department; returned to Scottsbluff, Nebr., in 1927 and worked in the garage business and the retail coal business; unsuccessful candidate for mayor in 1931; elected as a Democrat to the Seventy-third Congress (March 4, 1933-January 3, 1935); was not a candidate for renomination in 1934 to the Seventy-fourth Congress; unsuccessful candidate for nomination for Governor in 1934, for election to the United States Senate in 1936, for election for Lieutenant Governor in 1938, for election for Governor in 1940, for nomination to the United States Senate in 1942, for election to the United States Senate in 1948, for nomination for Governor in 1950, for nomination to the United States Senate in 1954, for nomination for Governor in 1960, for nomination to the United States Senate in 1972, and for Lieutenant Governor in 1974; major, United States Air Corps, 1942-1945; changed political affiliation five times; delegate to the Republican National Convention in 1956; served in the State legislature in 1953, 1957-1959, 1963-1974; engaged in operating Terry Carpenter, Inc., in Terrytown, Nebr.; resided in Scottsbluff, Nebr., where he died April 27, 1978; interment in Fairview Cemetery."
Helstoski,Henry,,"A Representative from New Jersey; born in Wallington, Bergen County, N.J., March 21, 1925; attended the Wallington and Rutherford schools; served in the United States Army Air Corps as instructor and radio technician, 1943-1945; attended Paterson State College and graduated from Montclair State Teachers College, B.A., 1947, and M.A., 1949; teacher, high school principal, and superintendent of schools in Bergen County, N.J., 1949-1962; served as councilman of East Rutherford, N.J., in 1956, and as mayor 1957-1965; management consultant in advertising, 1962-1964; elected as a Democrat to the Eighty-ninth and to the five succeeding Congresses (January 3, 1965-January 3, 1977); unsuccessful candidate for reelection as an independent to the Ninety-fifth Congress; unsuccessful candidate for election as an independent in 1978 to the Ninety-sixth Congress and as a Democrat for nomination in 1980 to the Ninety-seventh Congress; superintendent, North Bergen schools, 1981-1985; engaged as a public relations consultant; was a resident of East Rutherford, N.J., until his death in Wayne, N.J., on December 16, 1999."
Smith,George,,"A Representative from Pennsylvania; birth date unknown; elected as a Republican to the Eleventh and Twelfth Congresses (March 4, 1809-March 3, 1813); death date unknown."
Green,Theodore,Francis,"(Grandnephew of Samuel Greene Arnold, great-grandnephew of Tristam Burges, great-grandson of James Burrill, Jr., great-great-grandson of Jonathan Arnold, and great-great-nephew of Lemuel Hastings Arnold), a Senator from Rhode Island; born in Providence, R.I., October 2, 1867; attended private and public schools; graduated from Brown University, Providence, R.I., in 1887; attended Harvard University Law School and the Universities of Bonn and Berlin in Germany; admitted to the bar in 1892 and commenced practice in Providence, R.I.; instructor in Roman law at Brown University, Providence, R.I., 1894-1897; received a commission as lieutenant during the Spanish-American War; chairman of the city plan commission of Providence 1917-1919; member, State house of representatives 1907; unsuccessful Democratic candidate for Governor in 1912 and 1930; unsuccessful candidate for election in 1918 to the Sixty-sixth Congress; Governor of Rhode Island 1933-1936; financially interested in numerous corporations and business enterprises and served as officer and director; elected as a Democrat to the United States Senate in 1936, 1942, 1948, and again in 1954 and served from January 3, 1937, to January 3, 1961; was not a candidate for renomination in 1960; chairman, Committee on Privileges and Elections (Seventy-seventh through Seventy-ninth Congresses), co-chairman, Joint Committee on the Library (Eighty-first and Eighty-second Congresses), chairman, Joint Committee on the Library (Eighty-fourth through Eighty-sixth Congresses), Committee on Rules and Administration (Eighty-fourth Congress), Committee on Foreign Relations (Eighty-fifth and Eighty-sixth Congresses); was ninety-three when he retired, and at the time, the oldest man to serve in Congress; died in Providence, R.I., May 19, 1966; interment in Swan Point Cemetery."
Rose,Charles,Grandison,"A Representative from North Carolina; born in Fayetteville, Cumberland County, N.C., August 10, 1939; attended the public schools; A.B., Davidson (N.C.) College, 1961; LL.B., University of North Carolina Law School, Chapel Hill, 1964; admitted to the North Carolina bar in 1964 and commenced practice in Raleigh; chief district court prosecutor for the Twelfth Judicial District, 1967-1970; elected as a Democrat to the Ninety-third and to the eleven succeeding Congresses (January 3, 1973-January 3, 1997); chairman, Joint Committee on Printing (One Hundred Second Congress), Committee on House Administration (One Hundred Second and One Hundred Third Congresses); was not a candidate for reelection to the One Hundred Fifth Congress; died on September 3, 2012, in Albertville, Ala."
Baker,Robert,,"A Representative from New York; born at Bury St. Edmunds, England, in April 1862; attended the common schools; immigrated to the United States in 1882 and settled in Albany, N.Y.; moved to Brooklyn, N.Y., in 1889; unsuccessful candidate for election to the State assembly in 1894; auditor of New York City in 1902; elected as a Democrat to the Fifty-eighth Congress (March 4, 1903-March 3, 1905); unsuccessful candidate for reelection in 1904 to the Fifty-ninth Congress and for election in 1906 to the Sixtieth Congress; became secretary of the New York City Department of Docks and Ferries in 1906; engaged in stone paving and in the general real-estate business in Brooklyn, N.Y., until his death there on June 15, 1943; interment in Evergreen Cemetery."
Hale,Nathan,Wesley,"A Representative from Tennessee; born near Gate City, Scott County, Va., February 11, 1860; attended the common schools of Nicholasville, Va., and Kingsley Academy near Kingsport, Tenn.; taught school at Hale's Mill, Va., in 1876; moved to Knoxville, Tenn., in 1878 and engaged in the nursery business; also engaged in the wholesale dry goods business, banking, and farming; member of the State house of representatives, 1891-1893; served in the State senate, 1893-1895; unsuccessful candidate for the Republican nomination in 1902 as a Representative to the Fifty-eighth Congress; elected as a Republican to the Fifty-ninth and Sixtieth Congresses (March 4, 1905-March 3, 1909); unsuccessful candidate for reelection in 1908 to the Sixty-first Congress; delegate to the Republican National Convention in 1908; member of the Republican National Committee 1908-1912; moved to Los Angeles, Calif., in 1909 and engaged in the oil and real estate business until his death in Alhambra, Calif., September 16, 1941; interment in Rose Hills Memorial Park, Whittier, Calif."
Boehner,John,Andrew,"A Representative from Ohio; born in Cincinnati, Hamilton County, Ohio, November 17, 1949; graduated from Moeller High School, Cincinnati, Ohio, 1968; B.S., Xavier University, Cincinnati, Ohio, 1977; United States Navy, 1968; businessman; business executive; member of the Union Township, Ohio, board of trustees, 1981, and president, 1984; member of the Ohio state house of representatives, 1985-1990; elected as a Republican to the One Hundred Second and to the twelve succeeding Congresses, and served until his resignation on October 31, 2015 (January 3, 1991-October 31, 2015); House Republican Conference Chairman, 1995-1999; chair, Committee on Education and the Workforce (One Hundred Seventh through One Hundred Ninth Congresses); majority leader (One Hundred Ninth Congress); minority leader (One Hundred Tenth and One Hundred Eleventh Congress); Speaker of the House (One Hundred Twelfth through One Hundred Fourteenth Congresses)."
Scott,Charles,Lewis,"A Representative from California; born in Richmond, Henrico County, Va., January 23, 1827; attended the public schools and Richmond Academy and was graduated from the College of William and Mary, Williamsburg, Va., in 1846; studied law; was admitted to the bar in 1847 and commenced practice in Richmond, Va.; moved to California in 1849 and engaged in gold mining; resumed the practice of his profession in Sonora, Calif., in 1851; member of the State assembly 1854-1856; elected as a Democrat to the Thirty-fifth and Thirty-sixth Congresses (March 4, 1857-March 3, 1861); was not a candidate for reelection; during the Civil War served as a major in the Fourth Regiment, Alabama Volunteer Infantry, of the Confederate Army; after the war engaged in agricultural pursuits in Wilcox County, Ala., and from 1869 to 1879 was engaged in journalism; was a delegate to every Democratic National Convention from the end of the Civil War to 1896; appointed by President Cleveland on August 10, 1885, Minister Resident to Venezuela and consul general at Caracas and served until his resignation, effective March 8, 1889; returned to the United States and engaged in agricultural pursuits until his death near Mount Pleasant, Monroe County, Ala., April 30, 1899; interment in the private cemetery of Mrs. Robert G. Scott at Cedar Hill, Ala."
Clingan,William,,"A Delegate from Pennsylvania; born probably near Wagontown, West Colen Township, Chester County, Pa., ca.1721; justice of the peace, Chester County, Pa., 1757-1786; Member of the Continental Congress, 1777-1779; signer of the Articles of Confederation, 1778; president of the Chester County, Pa., courts, 1780-1786; died on May 9, 1790; interment in Upper Octorara Burial Grounds, Chester County, Pa."
Fisher,Hubert,Frederick,"A Representative from Tennessee; born in Milton, Santa Rosa County, Fla., October 6, 1877; attended the common schools and was graduated from the University of Mississippi at Oxford in 1898; took a postgraduate course at Princeton University in 1900 and 1901; studied law; was admitted to the bar in 1904 and commenced practice in Memphis, Tenn.; delegate to the Democratic National Convention in 1912; member of the State senate in 1913 and 1914; United States attorney for the western district of Tennessee 1914-1917; elected as a Democrat to the Sixty-fifth and to the six succeeding Congresses (March 4, 1917-March 3, 1931); was not a candidate for renomination in 1930; due to deafness retired from active legal and political activities and moved to Germantown, Tenn., where he engaged in nursery pursuits; died June 16, 1941, while on a visit in New York City; interment in Old Gray Cemetery, Knoxville, Tenn."
Evans,Hiram,Kinsman,"A Representative from Iowa; born in Walnut Township, Wayne County, Iowa, March 17, 1863; attended the country schools and Seymour and Allerton (Iowa) High Schools; was graduated from the law department of the University of Iowa at Iowa City in 1886; was admitted to the bar in 1886 and commenced practice in Holdrege, Nebr.; moved to Seymour, Iowa, in 1887, and to Corydon, Iowa, in 1889 and continued the practice of law; prosecuting attorney for Wayne County 1891-1895; member of the State house of representatives in 1896 and 1897; member of the board of regents of the University of Iowa 1897-1904; mayor of Corydon 1901-1903; judge of the third judicial district of Iowa from 1904 until 1923, when he resigned; elected as a Republican to the Sixty-eighth Congress to fill the vacancy caused by the resignation of Horace M. Towner and served from June 4, 1923, to March 3, 1925; declined to be a candidate for renomination in 1924; resumed the practice of law in Corydon, Iowa; appointed by the Governor of Iowa as a member of the State board of parole on July 1, 1927, and served to July 1, 1933; died in Corydon, Iowa, July 9, 1941; interment in Corydon Cemetery."
Biggert,Judy,Borg,"A Representative from Illinois; born in Chicago, Cook County, Ill., August 15, 1937; attended New Trier High School, Winnetka, Ill.; B.A., Stanford University, Stanford, Calif., 1959; J.D., Northwestern University School of Law, Evanston, Ill., 1963; clerk to Judge Luther M. Swygert, U.S. Court of Appeals, 7th Circuit, 1963-1964; president, board of education, Hinsdale Township High School district 86, Hinsdale Township, Ill., 1983-1986; member, Illinois state house of representatives, 1993-1998; elected as a Republican to the One Hundred Sixth and to the six succeeding Congresses (January 3, 1999-January 3, 2013); unsuccessful candidate for reelection to the One Hundred Thirteenth Congress in 2012."
Crane,Daniel,Bever,"<p>(Brother of Philip Miller Crane), a Representative from Illinois; born in Chicago, Cook County, Ill., January 10, 1936; attended the public schools of Chicago; A.B., Hillsdale College, Hillsdale, Mich., 1958; D.D.S., Indiana University, Indianapolis, Ind., 1963; graduate work, University of Michigan, 1964-1965; dentist; United States Army, captain, 1967-1970; elected as a Republican to the Ninety-sixth and to the two succeeding Congresses (January 3, 1979-January 3, 1985); censured by the U.S. House of Representatives on July 20, 1983, for personal misconduct with a House Page; unsuccessful candidate for reelection to the Ninety-ninth Congress in 1984; resumed the practice of dentistry; died on May 28, 2019, in Danville, Ill; interment at Rose Hill Cemetery, Hillsboro, Ind.</p>"
Traynor,Philip,Andrew,"A Representative from Delaware; born in Wilmington, New Castle County, Del., May 31, 1874; attended the public schools, Goldey Business College, Wilmington, Del., and the University of Delaware at Newark; was graduated in 1895 from the dental department of the University of Pennsylvania at Philadelphia and commenced the practice of dentistry in Wilmington, Del.; member of the State board of dentistry 1918-1943, serving as chairman of the board since 1922; delegate to the State Democratic convention in 1936; vice president and member of the board of trustees of Ferris Industrial School for Boys 1938-1942; elected as a Democrat to the Seventy-seventh Congress (January 3, 1941-January 3, 1943); unsuccessful candidate for reelection in 1942 to the Seventy-eighth Congress; resumed the practice of his chosen profession; elected as a Democrat to the Seventy-ninth Congress (January 3, 1945-January 3, 1947); unsuccessful candidate for reelection in 1946 to the Eightieth Congress; resumed the practice of dentistry at Wilmington, Del., where he died December 5, 1962; interment in Cathedral Cemetery."
Alford,Mark,,"a Representative from Missouri; born in Baytown, Harris County, Tex., October 4, 1963; graduated from Ross S. Sterling High School, Baytown, Tex., 1982; attended Lee College, Baytown, Tex.; attended Southwest Texas State College, San Marcos, Tex.; attended University of Texas, Austin, Tex.; television news anchor; realtor; business owner; elected as a Republican to the One Hundred Eighteenth Congress (January 3, 2023-present)."
Bruce,Phineas,,"A Representative from Massachusetts; born in Mendon, Mass., June 7, 1762; received a classical education and was graduated from Yale College in 1786; studied law; was admitted to the bar in 1790 and commenced practice in Machias, Maine (then a district of Massachusetts); member of the Massachusetts house of representatives 1791-1798 and in 1800; elected as a Federalist to the Eighth Congress commencing March 4, 1803, but was prevented by illness from qualifying; died in Uxbridge, Mass., October 4, 1809; interment in the Old Burying Ground; reinterment in Prospect Hill Cemetery."
Hulburd,Calvin,Tilden,"A Representative from New York; born in Stockholm, St. Lawrence County, N.Y., June 5, 1809; completed preparatory studies; was graduated from Middlebury College, Vermont; attended Yale College Law School; was admitted to the bar in 1833; member of the New York assembly 1842-1844 and in 1862; elected as a Republican to the Thirty-eighth, Thirty-ninth, and Fortieth Congresses (March 4, 1863-March 3, 1869); chairman, Committee on Public Expenditures (Thirty-eighth through Fortieth Congresses); superintendent of construction of the New York post office; died in Brasher Falls, N.Y., on October 25, 1897; interment in Fairview Cemetery."
Dietz,William,,"A Representative from New York; born in Schoharie, N.Y., June 28, 1778; attended the district schools; engaged in agricultural pursuits; town clerk in 1804 and 1805; supervisor of Schoharie in 1812; served in the State assembly in 1814, 1815, and 1823; elected as a Jacksonian to the Nineteenth Congress (March 4, 1825-March 3, 1827); member of the State senate 1830-1833; resumed agricultural pursuits; colonel of the militia; died in Schoharie, Schoharie County, N.Y., on August 24, 1848; interment in St. Paul's Lutheran Cemetery."
Stephenson,James,,"A Representative from Virginia; born in Gettysburg, Pa., March 20, 1764; moved to Martinsburg, Va. (now West Virginia); volunteer rifleman under General St. Clair in his Indian expedition in 1791; brigade inspector; member of the state house of delegates 1800-1803; elected as a Federalist to the Eighth Congress (March 4, 1803-March 3, 1805); again a member of the state house of delegates in 1806 and 1807; elected as Federalist to the Eleventh Congress (March 4, 1809-March 3, 1811); elected as a Federalist to the Seventeenth Congress to fill the vacancy caused by the death of Thomas Van Swearingen; reelected as a Crawford Federalist to the Eighteenth Congress and served from October 28, 1822, to March 3, 1825; died in Martinsburg, Va. (now West Virginia), August 7, 1833."
Knox,James,,"A Representative from Illinois; born in Canajoharie, N.Y., July 4, 1807; attended Hamilton College, Clinton, N.Y., and was graduated from Yale College in 1830; studied law; was admitted to the bar in 1833 and commenced practice in Utica, N.Y.; moved to Illinois in 1836 and settled in Knoxville, Knox County; continued the practice of law; also engaged in agricultural pursuits; delegate to the State constitutional convention in 1847; elected as a Whig to the Thirty-third Congress and reelected as an Opposition Party candidate to the Thirty-fourth Congress (March 4, 1853-March 3, 1857); chairman, Committee on Roads and Canals (Thirty-fourth Congress); continued the practice of law until his death in Knoxville, Ill., October 8, 1876; interment in City Cemetery."
Abbott,Josiah,Gardner,"A Representative from Massachusetts; born in Chelmsford, Middlesex County, Mass., November 1, 1814; attended the Chelmsford Academy, Concord, Mass.; graduated from Harvard University, Cambridge, Mass., 1832; LL.D., Williams College, Williamstown, Mass., 1862, teacher; lawyer, private practice; member of the Massachusetts state house of representatives, 1836; member of the Massachusetts state senate, 1841-1842; aide to Massachusetts Governor Marcus Morton, 1843; master in chancery, 1850-1855; member of the Massachusetts state constitutional convention, 1853; justice of the superior court, Suffolk County, Mass., 1855-1858; overseer of Harvard University, Cambridge, Mass., 1859-1865; several times was the unsuccessful Democratic candidate for United States Senator; declined an appointment to the supreme court bench in 1860; declined the Democratic nomination for attorney general in 1861; successfully contested as a Democrat the election of Rufus S. Frost to the Forty-fourth Congress (July 28, 1876-March 3, 1877); was not a candidate for renomination in 1876; member of the Electoral Commission created by the act of Congress approved January 29, 1877, to decide the presidential election of 1876; died on June 2, 1891, in Wellesley Hills, near Boston, Mass.; interment in St. Mary's Cemetery, Newton Lower Falls, Mass."
Tallmadge,Benjamin,,"A Representative from Connecticut; born in Brookhaven, Long Island, N.Y., February 25, 1754; moved to Litchfield, Conn., in 1783; was graduated from Yale College in 1773; superintendent of Wethersfield High School 1773-1776; commissioned lieutenant in the Continental Line June 20, 1776; promoted to captain of dragoons December 15, 1776, major April 7, 1777, and colonel September 5, 1779; was appointed postmaster at Litchfield, Conn., in 1792; first president of the Phoenix Branch Bank; treasurer and later president of the Society of the Cincinnati; elected as a Federalist to the Seventh and to the seven succeeding Congresses (March 4, 1801-March 3, 1817); declined to be a candidate for renomination; engaged in mercantile pursuits and was an importer; also interested in banking; died in Litchfield, Conn., March 7, 1835; interment in the East Cemetery."
Sullivan,Maurice,Joseph,"A Representative from Nevada; born in San Rafael, Marin County, Calif., December 7, 1884; attended the parochial school and Sacred Heart College, San Francisco, Calif.; Lieutenant Governor of Nevada 1915-1926 and 1939-1942; during the First World War was adjutant general of Nevada, disbursing officer of the United States Government, and draft executive of Nevada; colonel in the United States Army 1922-1932; was admitted to the bar in 1923 and commenced practice in Carson City, Nev.; also a mining operator; principal owner of the Wood-Sullivan Hardware Co.; elected as a Democrat to the Seventy-eighth Congress (January 3, 1943-January 3, 1945); unsuccessful candidate for renomination in 1944; resumed the practice of law in Reno, Nev., until his death there August 9, 1953; interment in Mater Dolorosa Cemetery."
Degetau,Federico,,"A Resident Commissioner from Puerto Rico; born in Ponce, P.R., December 5, 1862; attended the common schools and Central College of Ponce; completed an academic course at Barcelona, Spain, and was graduated from the law department of Central University of Madrid; was admitted to the bar and commenced practice in Madrid, Spain; returned to Puerto Rico; one of the four commissioners sent by Puerto Rico to ask Spain for autonomy; settled in San Juan and continued the practice of law; member of the municipal council of San Juan in 1897; mayor of San Juan in 1898; deputy to the Spanish Cortes of 1898; appointed by General Henry secretary of the interior of the first American cabinet that was formed in Puerto Rico in 1899; appointed by General Davis a member of the insular board of charities; writer and author; first vice president of the municipal council of San Juan in 1899 and 1900; president of the board of education of San Juan in 1900 and 1901; elected as a Puerto Rican Republican a Resident Commissioner to the United States in 1900; reelected in 1902, and served from March 4, 1901, until March 3, 1905; was not a candidate for renomination in 1904; resumed the practice of law; died in Santurce, Puerto Rico, January 20, 1914; interment in the Cemetery of San Juan."
Keefe,Frank,Bateman,"A Representative from Wisconsin; born in Winneconne, Winnebago County, Wis., September 23, 1887; attended the public schools; was graduated from Oshkosh (Wis.) State Normal School in 1906 and from the law department of the University of Michigan at Ann Arbor in 1910; teacher in the schools at Viroqua, Vernon County, Wis., in 1906 and 1907; was admitted to the bar in 1910 and commenced practice in Oshkosh, Wis.; prosecuting attorney of Winnebago County, Wis., 1922-1928; vice president and director of an Oshkosh bank; elected as a Republican to the Seventy-sixth and to the five succeeding Congresses (January 3, 1939-January 3, 1951); was not a candidate for renomination in 1950; resumed the practice of law; died in Neenah, Wis., February 5, 1952; interment in Lakeview Memorial Park, Oshkosh, Wis."
Patterson,Ellis,Ellwood,"A Representative from California; born in Yuba City, Sutter County, Calif., November 28, 1897; attended the public schools; was graduated from the University of California at Berkeley in 1921; during the First World War served as a seaman in the United States Navy in 1917 and 1918; taught school in Colusa County, Calif., 1922-1924; district superintendent of schools of South Monterey County, Calif., 1923-1932; studied law at Stanford University and at the University of California 1931-1936; was admitted to the bar in 1937 and commenced practice in Sacramento and Los Angeles, Calif.; member of the State assembly 1932-1938; Lieutenant Governor 1938-1942; elected as a Democrat to the Seventy-ninth Congress (January 3, 1945-January 3, 1947); did not seek renomination in 1946, but was an unsuccessful candidate for nomination for United States Senator; unsuccessful candidate for election in 1948 to the Eighty-first Congress; resumed the practice of law; was a resident of Los Angeles, Calif., until his death there on August 25, 1985."
Johnson,Hiram,Warren,"(Son of Grove Lawrence Johnson), a Senator from California; born in Sacramento, Calif., September 2, 1866; attended the public schools and the University of California at Berkeley; studied law; admitted to the bar in 1888 and commenced practice in Sacramento; moved to San Francisco in 1902; active in reform politics and assistant district attorney of San Francisco; one of the founders of the Progressive Party in 1912 and nominee for Vice President of the United States on the Progressive ticket in 1912 with Theodore Roosevelt; Governor of California 1911-1917, when he resigned, having previously been elected Senator; elected as a Republican to the United States Senate in 1916 for the term beginning March 4, 1917, but, preferring to continue as Governor, did not assume his senatorial duties until March 16, 1917; reelected in 1922, 1928, 1934 and again in 1940 and served from March 16, 1917, until his death in the naval hospital at Bethesda, Md., August 6, 1945; chairman, Committee on Cuban Relations (Sixty-sixth Congress), Committee on Patents (Sixty-seventh Congress), Committee on Immigration (Sixty-eighth through Seventy-first Congresses), Committee on Territories and Insular Possessions (Sixty-eighth Congress), and Committee on Commerce (Seventy-first and Seventy-second Congresses); interment in Cyprus Lawn Cemetery, San Francisco, Calif."
Myers,Leonard,,"A Representative from Pennsylvania; born in Attleboro (now Langhorne), Bucks County, Pa., on November 13, 1827; attended private academic schools and the University of Pennsylvania at Philadelphia; studied law; was admitted to the bar in 1848 and practiced in Philadelphia, Pa.; held local offices; major of the Ninth Regiment, Pennsylvania Militia, during the emergency service of September 1862; elected as a Republican to the Thirty-eighth, Thirty-ninth, and Fortieth Congresses (March 4, 1863-March 3, 1869); successfully contested the election of John Moffet to the Forty-first Congress; reelected to the Forty-second and Forty-third Congresses and served from April 9, 1869, to March 3, 1875; chairman, Committee on Foreign Affairs (Forty-second Congress), Committee on Patents (Forty-second Congress), Committee on Private Land Claims (Forty-third Congress); unsuccessful candidate for reelection in 1874; resumed the practice of law; died in Philadelphia, Pa., February 11, 1905; interment in De Benneville family cemetery."
Quigley,James,Michael,"A Representative from Pennsylvania; born in Mount Carmel, Northumberland County, Pa., March 30, 1918; attended the parochial schools of Mount Carmel; was graduated from Villanova College in 1939 and from Dickinson School of Law, Carlisle, Pa., in 1942; was admitted to the bar in 1942 and commenced the practice of law in Harrisburg, Pa.; served in the United States Navy 1943-1946, engaged in the Philippine and Okinawa campaigns, and after V-J Day served with the occupation forces in Korea and China; resumed law practice in Harrisburg, Pa.; unsuccessful Democratic candidate for election to the Eighty-second Congress in 1950; elected as a Democrat to the Eighty-fourth Congress (January 3, 1955-January 3, 1957); unsuccessful candidate in 1956 for reelection to the Eighty-fifth Congress; in 1957 became administrative assistant to Senator Joseph S. Clark of Pennsylvania; assistant attorney general, Pennsylvania, 1958; elected to the Eighty-sixth Congress (January 3, 1959-January 3, 1961); unsuccessful candidate for reelection in 1960 to the Eighty-seventh Congress; appointed Assistant Secretary of Health, Education, and Welfare for Federal and State matters on February 24, 1961, serving until January 1966; appointed Commissioner, Federal Water Pollution Control Administration, January 1966-January 1968; vice president, United States Plywood-Champion Papers, Inc., 1968-1986; died on December 15, 2011, in Washington, D.C."
Taylor,Van,,"A Representative from Texas; born in Dallas, Dallas County, Tex., August 1, 1972; graduated from St. Paul's School, Concord, N.H., 1991; A.B., Harvard University, Cambridge, Mass., 1995; M.B.A., Harvard University, Cambridge, Mass., 2001; United States Marine Corps, 1995-1999; United States Marine Corps Reserve, 1999-2005; real estate executive; member of the Texas state house of representatives, 2010-2014; member of the Texas state senate, 2015-2019; unsuccessful candidate for nomination to the One Hundred Tenth Congress in 2006; elected as a Republican to the One Hundred Sixteenth and to the succeeding Congress (January 3, 2019-January 3, 2023); was not a candidate for reelection to the One Hundred Eighteenth Congress in 2022."
Einstein,Edwin,,"A Representative from New York; born in Cincinnati, Ohio, November 18, 1842; moved with his parents to New York City in 1846; worked as clerk in a store; received a collegiate training in the College of the City of New York, and entered Union College, but did not graduate; engaged in mercantile pursuits; elected as a Republican to the Forty-sixth Congress (March 4, 1879-March 3, 1881); was not a candidate for renomination in 1880; unsuccessful Republican candidate for mayor of New York City in 1892; dock commissioner of New York City in 1895; was prominently identified with a number of investment companies and woolen factories; died in New York City January 24, 1905; interment in Shearith Israel Cemetery, Brooklyn, N.Y."
